type	name	latitude_deg	longitude_deg	icao_code
small_airport	Erume Airport	-8.2538	146.9747	AYER
small_airport	Bosset Airport	-7.237257	141.1063222	AYET
small_airport	Erave Airport	-6.606463154	143.9002132	AYEV
small_airport	Siwea Airport	-6.284181	147.582371	AYEW
small_airport	Fane Airport	-8.549277778	147.0858333	AYFA
small_airport	Faia Airport	-7.160353	143.531317	AYFF
small_airport	Finschhafen Airport	-6.621750109	147.85405	AYFI
small_airport	Frieda River Airport	-4.610468	141.960138	AYFR
small_airport	Fuma Airport	-6.3933	142.4408	AYFU
medium_airport	Goroka Airport	-6.081689835	145.3919983	AYGA
small_airport	Gewoia Airport	-9.2263	148.4949	AYGC
small_airport	Guari Airport	-8.1286	146.8722	AYGF
small_airport	Garasa Airport	-7.980713	147.213461	AYGG
small_airport	Garaina Airport	-7.875625	147.141266	AYGI
small_airport	Guasopa Airport	-9.225918	152.944352	AYGJ
small_airport	Gonaili Airport	-5.527716614	151.5733333	AYGL
medium_airport	Gurney Airport	-10.3114996	150.3339996	AYGN
small_airport	Gusap Airport	-6.053196	145.959047	AYGP
medium_airport	Girua Airport	-8.80453968	148.3090057	AYGR
small_airport	Gasuke Airport	-6.1028	141.7393	AYGS
small_airport	Gasmata Island Airport	-6.271110058	150.3309937	AYGT
small_airport	Anguganak Airport	-3.560504	142.217307	AYGU
small_airport	Green River Airport	-3.902242899	141.170517	AYGV
small_airport	Gora Airstrip	-9.0021	148.2364	AYGX
small_airport	Habi Airport	-6.32	142.4893	AYHB
small_airport	Heiweni Airport	-7.4223	146.4276	AYHE
small_airport	Hayfields Airport	-3.69838	143.057902	AYHF
small_airport	Honinabi Airport	-6.2457	142.1771	AYHH
medium_airport	Hoskins Airport	-5.463846	150.407327	AYHK
small_airport	Haivaro Airport	-6.9406	143.059	AYHO
small_airport	Hawabango Airport	-7.392994	146.003487	AYHU
small_airport	Nissan Island Airport	-4.499720097	154.2259979	AYIA
small_airport	Indagen Airport	-6.22663	147.244	AYID
small_airport	Imane Airport	-6.7524	146.1072	AYII
small_airport	Kungim Airport	-5.671	141.03	AYIM
small_airport	Imonda Airport	-3.328	141.1573	AYIO
small_airport	Aropa Airport	-6.305417	155.728139	AYIQ
small_airport	Wasua Airport	-8.2836	142.8697	AYIW
small_airport	Witu Airport	-4.689522	149.440112	AYIX
small_airport	Miyanmin Airport	-4.903055556	141.6208333	AYIY
small_airport	Yongai Airport	-8.5289	147.4603	AYJO
small_airport	Josephstaal Airport	-4.747083333	145.0070833	AYJS
small_airport	Losuia Airport	-8.505820274	151.0809937	AYKA
small_airport	Kabwum	-6.155472222	147.1914722	AYKB
small_airport	Kandrian Airport	-6.19217	149.54783	AYKC
small_airport	Kamina Airport	-7.64925	145.9569444	AYKD
small_airport	Kopiago Airport	-5.3883	142.4977	AYKG
small_airport	Kamulai Airport	-8.150694444	146.834	AYKH
small_airport	Kiunga Airport	-6.125710011	141.2819977	AYKI
small_airport	Kanainj Airport	-5.2903	144.7072	AYKJ
small_airport	Kikori Airport	-7.42438	144.250076	AYKK
medium_airport	Kerema Airport	-7.963610172	145.7709961	AYKM
small_airport	Kokoda Airport	-8.884679	147.730957	AYKO
small_airport	Kagi Airport	-9.135916667	147.6694444	AYKQ
small_airport	Kar Kar Airport	-4.557	145.9404	AYKR
small_airport	Kaintiba Airport	-7.50025	146.0338333	AYKT
small_airport	Kuri Airport	-7.135083	143.276111	AYKU
medium_airport	Kavieng Airport	-2.579400063	150.8079987	AYKV
small_airport	Kawito Airport	-7.977006912	142.8235779	AYKW
small_airport	Londolovit Airport	-3.043610096	152.6289978	AYKY
small_airport	Lab Lab Airport	-5.7204	148.0566	AYLB
small_airport	Keglsugl Airport	-5.832777778	145.0972222	AYLG
small_airport	Kibuli Airstrip	-9.006528	142.698056	AYLI
small_airport	Linga Linga Airport	-5.531944444	149.7341667	AYLL
small_airport	Langimar Airport	-7.223138889	146.2270833	AYLN
small_airport	Lowai Airport	-6.3344	146.6458	AYLO
small_airport	Leron Plains Airport	-6.3917	146.3434	AYLP
small_airport	Lese Airport	-8.2799	146.2765	AYLS
small_airport	Lengbati Airport	-6.384611111	147.3686389	AYLT
small_airport	Lumi Airport	-3.476839511	142.0412922	AYLU
small_airport	Long Island Airport	-5.3604	147.0177	AYLX
small_airport	Manari Airport	-9.1908	147.6219	AYMA
small_airport	Morobe Airport	-7.74	147.59	AYMB
small_airport	Menyamya Airport	-7.211666667	146.0193611	AYMC
medium_airport	Madang Airport	-5.207079887	145.7890015	AYMD
medium_airport	Mount Hagen Kagamuga Airport	-5.828212	144.299412	AYMH
small_airport	Mindik Airport	-6.471666667	147.4411389	AYMI
small_airport	Makini Airport	-6.532222222	147.6511667	AYMJ
small_airport	Mougulu Airport	-6.280859	142.420775	AYML
medium_airport	Mendi Airport	-6.14774	143.656998	AYMN
medium_airport	Momote Airport	-2.06189	147.423996	AYMO
small_airport	Malalaua Airport	-8.071388889	146.1554722	AYMP
small_airport	Malam Airport	-8.709166667	142.6497222	AYMQ
small_airport	Moro Airport	-6.363329887	143.2380066	AYMR
small_airport	Misima Island Airport	-10.6892004	152.8379974	AYMS
small_airport	Malekolon Airport	-4.023430556	153.6572778	AYMV
small_airport	Marawaka Airport	-6.9736	145.8849	AYMW
small_airport	Mapua(Mabua) Airport	-2.811388889	151.9911111	AYMZ
small_airport	Nankina Airport	-5.837	146.4533	AYNA
small_airport	Kanabea Airport	-7.538888889	145.905	AYNB
small_airport	Nadunumu Airport	-9.143555556	147.68425	AYNC
small_airport	Aua Island Airport	-1.460555556	143.0647222	AYND
small_airport	Negarbo(Negabo) Airport	-6.567778	144.703058	AYNE
small_airport	Nuguria Airstrip	-3.4075	154.7383	AYNI
small_airport	Namudi Airport	-9.47375	148.3294167	AYNJ
small_airport	Kasonombe Airport	-6.3819	146.9859	AYNM
small_airport	Kandep Airport	-5.840611111	143.5072222	AYNN
small_airport	Nomane Airport	-6.32183	145.070667	AYNO
small_airport	Bunsil Airport	-5.7243	147.8667	AYNS
small_airport	Nuku Airport	-3.676651	142.484334	AYNU
small_airport	Namatanai Airport	-3.6695	152.438	AYNX
small_airport	Nambaiyufa Airport	-6.2412	145.2424	AYNY
medium_airport	Nadzab Airport	-6.569803	146.725977	AYNZ
small_airport	Obo Airport	-7.590622421	141.3242626	AYOB
small_airport	Konge Airport	-6.2239	147.2152	AYOE
small_airport	Okao Airport	-5.556666667	141.0327778	AYOF
small_airport	Ogeranang Airport	-6.46675	147.3641667	AYOG
small_airport	Oksapmin Airport	-5.2261	142.2259	AYOJ
small_airport	Komako Airport	-7.3984	145.8827	AYOK
small_airport	Kol Airport	-5.731166667	144.846	AYOL
small_airport	Omora Airport	-7.827777778	147.0806389	AYOM
small_airport	Komo-Manda Airport	-6.0682	142.8598	AYOO
small_airport	Kosipe Airport	-8.450716	147.209195	AYOP
small_airport	Komaio Airport	-7.2714	143.5952	AYOQ
small_airport	Olsobip Airport	-5.389722222	141.5152778	AYOV
small_airport	Koroba Airport	-5.6952	142.7441	AYOW
small_airport	Paiela Airport	-5.372407	142.975774	AYPB
small_airport	Pangoa Airport	-7.0226	141.5605	AYPC
small_airport	Pindiu Airport	-6.445138889	147.5158333	AYPD
small_airport	April River Airport	-4.676666667	142.5401389	AYPE
small_airport	Pangia Airport	-6.386	144.1084	AYPG
small_airport	Pimaga Airport	-6.499166667	143.5102778	AYPJ
